crop,IMPLAN_category
Alfalfa,Alfalfa and Pasture
Almonds,Trees and Vine
Beans Dry,Other field and grain
Berries,Vegetables and non-tree fruits
Corn,Corn
Cotton,Other field and grain
Cucurbits,Vegetables and non-tree fruits
Field and Grain,Other field and grain
Grapes Table,Trees and Vine
Grapes Wine,Trees and Vine
Lettuce,Vegetables and non-tree fruits
Onions and Garlic,Vegetables and non-tree fruits
Orchards,Trees and Vine
Pasture,Alfalfa and Pasture
Pistachios,Trees and Vine
Potatoes,Vegetables and non-tree fruits
Rice,Corn
Safflower,Other field and grain
Subtropical,Trees and Vine
Sunflowers,Other field and grain
Tomatoes Fresh,Vegetables and non-tree fruits
Tomatoes Processing,Vegetables and non-tree fruits
Truck,Vegetables and non-tree fruits
Walnuts,Trees and Vine
