name,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apples,APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,BEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberries,BLUEBERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caneberries,CANEBERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grapes,GRAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hay,HAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hops,HOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pears,PEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potatoes,POTATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetables,VEGETABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherries,CHERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
